SP	Value
MA	0.0649
MA	0.0509
MA	0.0592
MA	0.0644
MA	0.0931
CO	0.1144
CO	0.0909
CO	0.0538
CO	0.1425
CO	0.0773
LE	0.1368
LE	0.127
LE	0.215
LE	0.2013
LE	0.2625
ER	0.097
ER	0.1215
ER	0.097
ER	0.0945
ER	0.1087
PLE	0.172
PLE	0.0896
PLE	0.1311
PLE	0.1431
PLE	0.1979
HY	0.2499
HY	0.1839
HY	0.2227
HY	0.256
HY	0.1692
CHU	0.2326
CHU	0.1272
CHU	0.1184
CHU	0.1217
CHU	0.1413
